;for beyerdynamic 449350 with serial number 34804; Sensitivity: 15.0mV/Pa = -36.5dBV	
;Frequency[Hz]	rel. Level[dB]
50	0.8
60	0.7
70	0.7
80	0.6
90	0.6
100	0.5
110	0.5
120	0.5
130	0.5
140	0.4
150	0.4
160	0.4
170	0.4
180	0.3
190	0.3
200	0.3
210	0.3
220	0.3
230	0.3
240	0.3
250	0.3
260	0.3
270	0.3
280	0.3
290	0.3
300	0.3
310	0.3
320	0.3
330	0.3
340	0.2
350	0.2
360	0.2
370	0.1
380	0.1
390	0.0
400	-0.0
420	-0.1
440	-0.2
470	-0.3
500	-0.4
530	-0.4
570	-0.4
600	-0.3
640	-0.2
680	-0.1
720	-0.0
770	0.0
820	0.0
870	-0.0
920	0.0
980	0.0
1050	-0.0
1110	0.0
1180	0.1
1260	0.1
1340	0.1
1420	0.1
1510	0.2
1610	0.3
1710	0.2
1820	-0.1
1930	-0.2
2050	-0.2
2180	-0.3
2320	-0.1
2470	0.1
2630	0.3
2790	0.1
2970	0.3
3160	0.2
3360	0.1
3570	0.1
3800	0.2
4040	0.2
4290	0.5
4570	0.6
4860	0.6
5160	0.5
5490	0.7
5840	1.0
6210	1.4
6610	1.4
7030	1.4
7470	1.5
7950	1.7
8450	1.9
8990	2.2
9560	2.7
10160	2.9
10810	3.1
11490	3.3
12220	3.5
13000	3.8
13830	3.9
14700	3.8
15640	4.1
16630	4.0
17690	3.9
18810	4.0
19980	4.0
